ID_Escola,Nome_Escola,Tipo_Escola,Numero_Alunos,Orcamento_Anual
0,Escola A,Publica,2917,1910635
1,Escola B,Publica,2949,1884411
2,Escola C,Particular,1761,1056600
3,Escola D,Publica,4635,3022020
4,Escola E,Particular,1468,917500
5,Escola F,Particular,2283,1319574
6,Escola G,Particular,1858,1081356
7,Escola H,Publica,4976,3124928
8,Escola I,Particular,427,248087
9,Escola J,Particular,962,585858
10,Escola K,Particular,1800,1049400
11,Escola L,Publica,3999,2547363
12,Escola M,Publica,4761,3094650
13,Escola N,Publica,2739,1763916
14,Escola O,Particular,1635,1043130
