Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
22a0Ji6EQKkY0tBohlN4Od,"7qL7yYYh4SlsjwymwVK0wW","There You Are","There You Are","Kirsten Ludwig",2018-08-06,231240,2,spotify:user:predict0,2018-08-28T19:51:58Z,"experimental folk",0.487,0.707,9,-5.596,0,0.0304,0.334,0.282,0.105,0.316,129.856,4
4J39ZEbwqHwtWLImUKmrn9,"5CRfAxYjJsDBH5wvWF2nja,55RRRPXwFwQmoTNqN4HBGU","88 Days","Heat","Sara King,Ian Olney",2018-08-04,227961,8,spotify:user:predict0,2018-08-28T19:51:58Z,"bedroom pop",0.335,0.401,3,-10.749,1,0.0333,0.134,0.582,0.134,0.233,155.062,4
0a12d4HUjOmQSqHqLopWYx,"0hy4t2HTGT4flktWAhKcxQ","Castaway","Castaway","ARZLEE",2018-08-10,230000,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.553,0.422,1,-11.29,1,0.0314,0.11,0.0000325,0.119,0.29,83.988,4
4u1DykFW1HjYAGNoDCiXfC,"6Wjyo1J1HR7HlT2bUTZ82T,021wqpA4geq0mtJlARXjon","Arouse","Arouse","Shagabond,goodboy noah",2018-08-03,213913,30,spotify:user:predict0,2018-08-28T19:51:58Z,"alternative r&b,indie r&b",0.67,0.751,1,-6.066,1,0.433,0.0728,0,0.368,0.533,91.961,4
0u7JZm9ORerlZnnxxSdMwl,"3Ad8KmjgFzpcTvmVf69GwR","Lonely","Lonely","Hayleau",2018-08-10,258738,21,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.67,0.709,8,-3.921,0,0.0406,0.0169,0.00063,0.0542,0.577,98.954,4
0wuy2BYIVLbflFDqnR9Jay,"5kCw0rYUFSJCubb6b2nZrE","Orsay","Strange Affairs","The Svens",2018-08-03,413658,6,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.61,0.444,0,-11.858,1,0.0316,0.0486,0.886,0.128,0.283,122.992,4
6LkIZZRrPQIbHMyBR5mTc2,"4TOsWuafqeWtrvYXqbnYAV","Nurture","Comrade","Island Fox",2018-08-09,191641,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.324,0.808,7,-11.415,0,0.0504,0.0159,0.639,0.181,0.266,133.925,4
5U27fxNSd27XtX876xUsfV,"6H2sKUE9xgNcRJo6jP9mBc,4N7qzgwpvz213edAIjuDBM","Dinosaur Hair - Remix","Dinosaur Hair","Andy Ferro,Charlie Conway",2018-08-10,257152,1,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.814,0.53,0,-10.086,1,0.0383,0.456,0.92,0.135,0.663,125.908,4
5ogJOpmyDsvrAdttU6JLnN,"5g4slbnQQL1L9cNzfjnxQY","Breathing Underwater","Long Way Down","Morning Wars",2018-08-03,174999,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.361,0.687,1,-11.258,0,0.0461,0.00000453,0.0204,0.115,0.477,150.042,4
65rLHt6A58MFRxlNWVDU1Z,"09Wl9YiRr5l1rChWktQD4o","Summer","Summer","NoSo",2018-08-01,232746,22,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.771,0.587,4,-7.517,1,0.038,0.0168,0.00723,0.0706,0.21,123.962,4
1F8360UuztzClhrF9OjxNG,"6KDipZITiq5yiYakmv11UP","Honest.","Honest.","Kemi Ade",2018-08-03,220312,5,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.444,0.537,5,-8.364,0,0.114,0.217,0,0.259,0.498,77.264,4
1UAc7PQPYO0oKWiyVHf5Cl,"24nRMXgTIub5QCUtqyIWQ3,3M96CFlLlfXNwak5W35zTn","Surrender","Surrender","Megan Gage,Aabo",2018-08-10,192000,9,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.593,0.613,4,-7.98,0,0.0523,0.00858,0.0000178,0.495,0.263,119.998,4
6c14rjEjfZYJMjIW7mwARr,"3o727IzfchABe7t9wVPprY,2yeE37Tw7N5mkDs9mHs7H2,36pRoIEoHUTWzxiMXto2k7","High Demand (feat. Maxpain) [Cousin's Story]","High Demand (feat. Maxpain) [Cousin's Story]","Arrow Nande,Vice,Maxpain",2018-08-10,246949,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.719,0.445,4,-8.105,0,0.051,0.206,0,0.0808,0.27,139.988,4
4CvV6VfT6taArl6ZnO85qK,"3R80OE4RViOWbnuvqh0j8a","Options","Options","thuy",2018-08-06,124540,30,spotify:user:predict0,2018-08-28T19:51:58Z,"chill r&b,indie r&b,pop,pop r&b",0.762,0.472,6,-7.352,1,0.0431,0.00276,0.0000697,0.107,0.412,92.45,4
1t4iNo42J9rUg3zRKoUGuf,"1EwI91zEFK5H5YdAQ85UL0","Echo Chamber","Echo Chamber","Aunty Social",2018-08-02,216981,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.584,0.56,6,-9.233,0,0.256,0.273,0.0000266,0.311,0.339,135.097,4
656sRwYGUOiuJHtL4c61gg,"0BHnU3S7yoIJvmMzi4IxMt,7FDVwpnG37ZDbUrC9kQTRL","Drown","Drown","SILKIN,Kayvahn",2018-08-02,225230,3,spotify:user:predict0,2018-08-28T19:51:58Z,"trap soul",0.637,0.488,9,-10.212,0,0.0457,0.687,0,0.0466,0.366,130.05,4
6EMDSb7h7aMvPaOLFyHgtV,"1v2gPjTFLBOA2dbvuBN95e,3kO5kofUF50YUMlQYQyCuD","Another World","Another World","MAYA,biLLLy",2018-08-09,249920,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.459,0.459,0,-9.527,1,0.134,0.548,0.0003,0.0935,0.725,162.826,5
2hmvAQaRCV9uXS9zgOTdql,"720HJ3Ql6chO1V56okaUSV","Forgiveness","Forgiveness","Cassette Tapes",2018-08-14,148085,8,spotify:user:predict0,2018-08-28T19:51:58Z,"chill r&b",0.735,0.576,9,-6.242,0,0.125,0.264,0.0000295,0.111,0.167,94.168,4
6aGD4TJJcYSaYTPYc9IYQq,"3FjOKQvLFC3XHYgVs4Zlmy","Silkworm Society","Silkworm Society","Now Vs Now",2018-08-10,326381,0,spotify:user:predict0,2018-08-28T19:51:58Z,"experimental jazz",0.512,0.664,11,-11.977,1,0.0385,0.64,0.218,0.272,0.304,97.568,4
6I4aAn84IgKFVrqRYl27b6,"7f88cUcAZmcUODO80xQq77","Pep Ventura","Pep Ventura","Sam O.B.",2018-08-03,388000,2,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.801,0.737,9,-9.014,1,0.0633,0.116,0.908,0.382,0.428,119.996,4
3A6pUp13Fnedvp0gCdFbsw,"29JaX6dhM54rVc2YCn3hZp","Let's Fly","Fire from Fort Apache","Asa Buchanon",2018-08-03,115746,0,spotify:user:predict0,2018-08-28T19:51:58Z,"",0.768,0.705,8,-8.369,1,0.144,0.00018,0.000248,0.359,0.811,110.578,4
75NIWnnH4Xhxq3IvWq78dm,"6ltQmR519qfdWeirSIzCV8","Pleasure","Pleasure","FHAT",2018-07-27,169248,13,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.691,0.402,5,-9.397,0,0.0927,0.39,0.00000331,0.102,0.578,79.929,4
2OgNRfvvOcQWp1F5WrBjY9,"7zbotleVbvaaVcWol5lHnD","Hindsight","Hindsight","CLLLAPS",2018-08-03,221538,1,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.443,0.589,0,-8.564,0,0.0477,0.0723,0.00237,0.15,0.382,142.832,4
5L5AB6Ps6wO9FDgfoZ1ZKk,"62KtseXhYT2GVhOvUk14EU","Blackheart Heights","Blackheart Heights","Feign",2018-07-22,204669,0,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.669,0.564,5,-6.512,1,0.0778,0.0681,0,0.1,0.148,83.057,4
7hdM3l7whE3lTHP6WsoKZT,"6LtgEnShwvrqAaKohg7skM,3w18CP1k8zFZb1GfRlPHyK","Reason","Soulection Black Label: Hablot Brown","Hablot Brown,Maths Time Joy",2018-07-29,200000,46,spotify:user:predict0,2018-08-08T20:20:01Z,"alternative r&b,indie r&b,indie soul",0.799,0.309,5,-8.462,0,0.165,0.164,0.00037,0.0854,0.553,89.964,4
0DZ3ER7zgfksLAeEfycvQW,"0Hh9X3QxTHPE2dlAS1g8IN","I'm Gone","Spirituality","Rome in Silver",2018-07-27,286895,27,spotify:user:predict0,2018-08-08T20:20:01Z,"future bass,vapor twitch",0.648,0.677,1,-7.49,0,0.155,0.0617,0.0378,0.352,0.278,74.936,4
626pd4EMcMFAJzAYPLdmDR,"5DLTBcpdWQsAPeN1t8PZv9","Flowerbomb","Flowerbomb","Siena Liggins",2018-07-27,190149,14,spotify:user:predict0,2018-08-08T20:20:01Z,"detroit indie",0.599,0.729,8,-6.691,1,0.0658,0.0428,0.000109,0.164,0.258,173.894,4
1d8yE6xNllus06Gy2ffDuV,"7zcXUc2JyOmByvlz0dlWwL","Keep Your Face On","Keep Your Face On","Soft Streak",2018-07-31,215632,2,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.611,0.618,1,-6.528,1,0.159,0.0554,0,0.211,0.441,154.96,4
18IhEejAIQxZvnjk94D8R5,"6S2aeEn6RhIUTzMTvcZriK","Caroline","Caroline","Raised on TV",2018-07-27,215941,5,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.405,0.908,7,-4.501,1,0.0557,0.0236,0.0117,0.147,0.409,77.509,4
4lYNaHwkcKugUbai11GK3J,"2UsrZRPk97l70i7PlXQ8hp","NO DYNAMITE","NO DYNAMITE","Justend",2018-07-27,182804,16,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.491,0.655,9,-8.4,0,0.0454,0.00494,0.000099,0.121,0.114,149.839,4
1BtFjl9GPI1zSIpEA3q8Tw,"0gqcx73XJbrIif5poxdHqt","Life2Live","Life2Live","OCTAVIO the Dweeb",2018-07-27,175955,0,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.683,0.558,11,-7.308,0,0.0316,0.49,0.0014,0.204,0.686,121.996,4
3YgSopst4gF5iESJx2jtP1,"4SAXct6ku4LIJH7kM8ybjP","Up 2 U","Up 2 U","Chec",2018-07-27,174000,0,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.897,0.661,2,-7.255,1,0.174,0.289,0.0000527,0.259,0.305,91.022,4
53ZE97rSUFHVwJgN6ewgZp,"4bNOdxc26omK0xR7FPucJn","Ricochet","Ricochet","Albert Posis",2018-07-24,245147,22,spotify:user:predict0,2018-08-08T20:20:01Z,"chill r&b,hmong pop",0.73,0.621,4,-9.055,0,0.0802,0.1,0.00000788,0.0673,0.899,94.955,4
4tORGA22a3dHMakb6E4oYo,"3LnJf5WXTmQY4MbPPReA1F","Understand","Understand","Hish",2018-08-01,169227,10,spotify:user:predict0,2018-08-08T20:20:01Z,"",0.604,0.616,4,-11.198,0,0.205,0.444,0,0.119,0.369,82.283,4
